Detail,Location,Function,Type
Nail Polish,Nail,Polish,Nail Polish
Moisturizer,Face,Cream,Face Cream
Conditioner,Hair,Condition,Hair Condition
Shampoo,Hair,Cleanser,Hair Cleanser
Eye Shadow,Eye,Makeup,Eye Makeup
Lipstick,Lips,Makeup,Lips Makeup
Sunscreen: SPF Greater Than 30,Body,Sunscreen,Body Sunscreen
Foundation,Face,Makeup,Face Makeup
Facial Moisturizer/treatment,Face,Cream,Face Cream
Sunscreen: Moisturizer,Face,Sunscreen,Face Sunscreen
Body Wash/cleanser,Body,Cleanser,Body Cleanser
Sunscreen: SPF 15-30,Body,Sunscreen,Body Sunscreen
Styling Gel/lotion,Hair,Style,Hair Style
Lip Gloss,Lips,Makeup,Lips Makeup
Eye Liner,Eye,Makeup,Eye Makeup
Facial Cleanser,Face,Cleanser,Face Cleanser
Bar Soap,Body,Cleanser,Body Cleanser
Anti-aging,Face,Cream,Face Cream
Sunscreen: Makeup,Face,Sunscreen,Face Sunscreen
Lip Balm,Lips,Medicine,Lips Medicine
Blush,Face,Makeup,Face Makeup
Exfoliant/scrub,Face,Cleanser,Face Cleanser
Mascara,Eye,Makeup,Eye Makeup
Hair Color And Bleaching,Hair,Color,Hair Color
Hair Spray,Hair,Style,Hair Style
Concealer,Face,Makeup,Face Makeup
Body Oil,Body,Oil,Body Oil
Antiperspirant/deodorant,Body,Deodorant,Body Deodorant
 Facial Moisturizer/treatment,Face,Cream,Face Cream
Fragrance For Women,Body,Fragrance,Body Fragrance
 Shampoo,Hair,Cleanser,Hair Cleanser
Mask,Face,Cleanser,Face Cleanser
Facial Powder,Face,Makeup,Face Makeup
Liquid Hand Soap,Hand,Cleanser,Hand Cleanser
Acne Treatment,Face,Acne,Face Acne
Sunscreen: Lip Balm,Lips,Sunscreen,Lips Sunscreen
Bath Oil/salts/soak,Body,Bath,Body Bath
Toners/astringents,Face,Acne,Face Acne
Bronzer/highlighter,Face,Color,Face Color
Hand Cream,Hand,Cream,Hand Cream
Around-eye Cream,Eye,Cream,Eye Cream
 Sunscreen: Moisturizer,Face,Sunscreen,Face Sunscreen
Toothpaste,Oral,Cleanser,Oral Cleanser
 Moisturizer,Body,Cream,Body Cream
Body Spray,Body,Fragrance,Body Fragrance
Lip Liner,Lips,Makeup,Lips Makeup
 Facial Cleanser,Face,Cleanser,Face Cleanser
Styling Mousse/foam,Hair,Style,Hair Style
Brow Liner,Brow,Makeup,Brow Makeup
Baby Sunscreen,Body,Sunscreen,Body Sunscreen
Baby Lotion,Body,Cream,Body Cream
Fragrance For Men,Body,Fragrance,Body Fragrance
BB Cream,Face,Cream,Face Cream
Shaving Cream,Face,Shaving,Face Shaving
Makeup Remover,Face,Cleanser,Face Cleanser
Mouthwash,Oral,Cleanser,Oral Cleanser
 Sunscreen: SPF Greater Than 30,Body,Sunscreen,Body Sunscreen
Tooth Whitening,Oral,Color,Oral Color
Sunless Tanning,Body,Color,Body Color
Foot Moisturizer,Feet,Cream,Feet Cream
After Shave,Face,Fragrance,Face Fragrance
Baby Shampoo,Hair,Cleanser,Hair Cleanser
Dandruff/scalp Treatment,Hair,Medicine,Hair Medicine
 Around-eye Cream,Eye,Cream,Eye Cream
Nail Treatment,Nail,Medicine,Nail Medicine
Diaper Cream,Body,Cream,Body Cream
Hand Sanitizer,Hand,Cleanser,Hand Cleanser
Makeup Primer,Face,Makeup,Face Makeup
 Eye Shadow,Eye,Makeup,Eye Makeup
Body Firming Lotion,Body,Cream,Body Cream
 Foundation,Face,Makeup,Face Makeup
After Sun Product,Body,Sunscreen,Body Sunscreen
 Toothpaste,Oral,Cleanser,Oral Cleanser
CC Cream,Face,Cream,Face Cream
Baby Wipes,Body,Cleanser,Body Cleanser
 Lipstick,Lips,Makeup,Lips Makeup
Bubble Bath,Body,Bath,Body Bath
 Baby Soap,Body,Cleanser,Body Cleanser
Baby Soap,Body,Cleanser,Body Cleanser
