ingredient,level,notes,
Anhydrous lanolin,1,*differences between sources of raw materials,
Prunus Armeniaca (Apricot) Kernel Oil,5,,
Octyldodecanol*,4,"dr. mark lees says this is cloggy, but dr. fulton says is safe and employs this in his own sunscreen lotion formula (superlight spf15)",superlight spf15
Lanolin *,2,industry articles say if derived from sheep's wool safe but if synthetic not safe; sS has not yet come to a conclusion on this ingredient.,
Lauryl alcohol *,2,,
A13-00356,5,,
Akyposal SDS,5,,
Aquarex ME,5,,
Aquarex methyl,5,,
Coal Tar,5,mark lees,
Coconut Oil,5,,
Cocos Nucifera (Coconut) Oil,5,,
Isopropyl isostearate,5,,
Isopropyl myristate,5,documented as the base of popular acne prescription topical medication retin-a cream,
Isostearic acid,5,mark lees,
Lanolic acid,5,mark lees,
Laureth-4,5,*diluted in mineral oil or 10% alcohol base,
Linseed oil,5,mark lees,
Monododecyl ester sodium salt sulfuric acid,5,,
Myreth 3 myristate,5,mark lees,
Myristyl lactate,5,*diluted in mineral oil or 10% alcohol base,
Myristyl myristate,5,,
Oleic acid,5,mark lees,
Oleth-3,5,,
PPG-2 myristyl propionate,5,,
Sodium dodecyl sulfate,5,,
Sodium Lauryl Sulfate,5,very commonly found in most all products that foams including face cleansers shampoos and body washes,
Sodium salt sulfuric acid,5,,
"Sulfuric acid, monododecyl ester, sodium salt",5,,
Wheat germ oil,5,,
Acetylated lanolin,4,,
Acetylated lanolin alcohol,4,,
Butyl Stearate,4,,
Cetearyl alcohol + Ceteareth 20,4,"only when in the same formulation, not necessarily right next to each other",
Cetyl Acetate,4,,
Cocoa Butter,4,,
Coconut Butter,4,,
D&C red no. 27,4,*diluted in mineral oil or 10% alcohol base,
D&C red no. 40,4,*diluted in mineral oil or 10% alcohol base,
D&C red no. 9,4,*diluted in mineral oil or 10% alcohol base,
Ethylhexyl palmitate,4,,
Glyceryl-3-diisostearate,4,,
Isocetyl alcohol,4,,
Isopropyl linolate,4,,
Isopropyl palmitate,4,the base of retin a cream,
Isostearyl isostearate,4,,
Lauric acid,4,,
Lauric acid in sunflower oil,4,,
Oleyl alcohol,4,mark lees,
PEG 16 lanolin (solulan 16),4,,
Polyethylene glycol (PEG 400),4,,
Polyglyceryl-3-diisostearate,4,,
PPG 5 ceteth 10 phosphate,4,,
Propylene glycol monostearate,4,,
Steareth-10,4,,
Stearyl heptanoate,4,,
Theobroma Cacao (Cocoa) Seed Butter,4,,
Xylene,4,,
Ahnfeltia concinna,3,,
Alaria esculenta,3,,
Algae,3,,
Algae Extract,3,,
Argan Oil,3,discovered comeodgenic in many skin & hair products,
Argania Spinosa,3,discovered comeodgenic in many skin & hair products,
Argania Spinosa Oil,3,"aka argan oil, discovered comeodgenic in many skin & hair products",
Ascophyllum Nodosum,3,,
Black Kelp,3,,
Bladderwrack,3,,
Blue Algae,3,,
Blue Green Algae,3,,
Brown Algae,3,,
Canola Oil,3,,
Capric Acid in Sunflower Oil,3,,
Carageenan Moss,3,"aka seaweed, commonly found in toothpastes",
Carrageen Moss,3,,
Carrageenan,3,"aka seaweed, commonly found in toothpastes",
Chlorella,3,,
Chlorella Botanicals,3,,
Chondrus Crispus,3,"aka seaweed, commonly found in toothpastes",
Chondrus Crispus Extract,3,,
Corallina Officinalis,3,discovered comedogenic in colorescience's blush bronzers & sunforgettables spf powders,
Corallina Officinalis Extract,3,as found in colorescience sunforgettables SPF and blush/bronzer brushes,
Corn Oil,3,,
Cotton seed oil,3,,
D&C red no. 17,3,FULTON SAYS all red dyes are comedogenic in acne rx (but doesn't mention ratios/dilutions),
D&C red no. 19,3,*diluted in mineral oil or 10% alcohol base,
D&C red no. 2,3,,
D&C red no. 21,3,*diluted in mineral oil or 10% alcohol base,
D&C red no. 3,3,,
D&C Red No. D&C red no. 30,3,,
D&C red no. 36,3,,
D&C red no. 36 in mineral oil,3,,
D&C red no. 6,3,*diluted in mineral oil or 10% alcohol base,
Decyl oleate,3,,
Dilsea carnosa,3,,
Dioctyl malate,3,,
Dioctyl succinate,3,,
Dulse,3,,
Ecklonia (all 9 species of it),3,,
Enteromorpha compressa,3,,
Ethoxylated lanolin,3,,
Evening primrose oil,3,,
Fragrance,3,"1.) fragrance is often used as an umbrella term for 3k+ undisclosed ingredients, at least 40 of which are comedogenic; 2.) safe if derived from an essential oil (not coconut) or tested on clear skin for at least 3-6 months (as products carried by sS are) ; 3). search 'fragrance' on our blog to read our article for more information","AG fast food shampoo, AG colour savour conditioner, AG ultramoist conditioner"
Fucus vesiculosus,3,,
Gelidium Cartilagineum,3,,
Glyceryl stearate SE,3,,
Glycine Soja Oil,3,aka soybean oil,
Haslea ostrearia,3,,
Himanthalia elongate,3,,
Hydrogenated vegetable oil,3,,
Hydrolyzed lola implexa,3,,
Hydrolyzed rhodophycea,3,,
Hypnea musciformis,3,,
Isodecyl oleate,3,,
Isostearyl neopentanoate,3,,
Kelp,3,,
Knotted kelp,3,,
Lamimaria ochroleuca extract,3,,
Laminaria digitata,3,,
Laminaria longicruris,3,,
Laminaria saccharina,3,,
Laureth-23,3,,
Lithothamnium calcareum,3,,
Lola implexa,3,,
Macrocystis pyrifera,3,,
macrocystis pyrifera (sea kelp) extract,3,,
Marine algae,3,,
Mastocarpus stellatus,3,,
Mink oil,3,,
Myristic acid,3,,
Nori,3,,
Norwegian kelp,3,,
Oleth-5,3,,
Padina pavonica,3,,
Palmaria palmate,3,,
Palmitic acid,3,,
PEG 200 dilaurate,3,,
PEG 8 stearate,3,,
Phytessence wakame,3,,
Plankton,3,discovered comedogenic in coola suncare sunscreens manufactured after their reformulation in 2012,
Porphyra,3,,
Porphyridium cruentum,3,,
PPG 10 cetyl ether,3,,
PPG 2 myristyl propionate,3,,
Red algae,3,discovered comedogenic in coola suncare sunscreens manufactured after their reformulation in 2012,
Rockweed,3,,
Sargassum,3,,
Sea whip,3,,
Seaweed,3,,
Sodium Laureth Sulfate,3,very commonly found in most all products that foams including face cleansers shampoos and body washes,
Sorbitan oleate,3,,
Soybean oil,3,,
Spirulina,3,,
Stearic acid TEA,3,,
Sulfated castor oil,3,,
Sulphated jojoba oil,3,,
Sweet Almond oil,3,almond oil is also comedogenic,
Tocopherol*,3,"AKA vitamin e. most all skincare products (including several sS formulations) contain this. ***comedogenicity results depend on source of material (commonly derived from cloggy soybean oil) ***ok in small amounts (as a preservative) but problematic when used in larger amounts, high up on an ingredient list or neat on the skin.",
Ulva lactuca,3,,
Undaria,3,,
Vitamin E *Wakame,3,,
Water-soluble sulfur,3,,
Wheat germ glyceride,3,,
A & D additive,2,,
Almond oil,2,sweet almond oil is also comedogenic,
Apricot Kernel Oil,2,all forms of apricot oil found comedogenic when used neat on the skin & sparingly in hair,
Apricot Oil,2,all forms of apricot oil found comedogenic when used neat on the skin & sparingly in hair,
Apricot oil (kernel),2,all forms of apricot oil found comedogenic when used neat on the skin & sparingly in hair,
Apricot Seed Oil,2,all forms of apricot oil found comedogenic when used neat on the skin & sparingly in hair,
Archidic acid in Sunflower Oil,2,,
Ascorbyl Palmitate,2,,
Avocado Oil,2,discovered comedogenic in shikai's color reflect conditioner,
Capric Acid,2,,
Ceteareth 20,2,comedogenic when cetearyl alcohol is also within the same formulation; they don't necessarily need to be right next to each other to be problematic!,
Ceteareth-20,2,comedogenic when cetearyl alcohol is also within the same formulation; they don't necessarily need to be right next to each other to be problematic!,
Cetearyl alcohol,2,"comedogenic when: 1. ceteareth 20 is also within the same formulation; they don't necessarily need to be right next to each other to be problematic! 2. used in larger amounts, or 3. listed higher up in an ingredient listing.",
Cetyl alcohol,2,,
D&C Red No. 30 (CI73360)D&C red no. 33,2,*diluted in mineral oil or 10% alcohol base,
D&C red no. 35 in pentaerythrital tetra capra/caprylate,2,,
D&C red no. 4,2,,
Di (2 ethylhexyl) succinate,2,,
Eicosanoic acid,2,,
Ethylhexyl pelargonate,2,,
Hexylene glycol,2,,
Hexylene glycol,2,mark lees,
Jojoba oil,2,1.) not to be used neat on the skin but seems ok in small amounts within a formulation; 2.) is not problematic for all acneic skins (our earth science fragrance free shampoo & youngblood makeup contains this – only 1 client has reported breaking out from the shampoo but no other incidences have been reported),"earthscience fragrance free shampoo, youngblood pressed mineral foundation"
Laneth-10,2,,
Lanolin alcohol*,2,*differences between sources of raw materials,
Myristyl alcohol,2,,
Oleth-10,2,,
Oleth-3 phosphate,2,,
Olive oil*,2,"1.) mark lees says this is cloggy; 2.) not to be used neat on the skin but seems ok in small amounts within a formulation; 3.) for more information regarding adulterated olive oil, search ""olive oil"" on our blog",sS lipbalm (both spearmint + lavender mint flavors)
Peanut oil,2,mark lees,
PEG 100 distearate,2,,
PEG 150 distearate,2,,
Pentaerythrital tetra isostearate,2,,
Petrolatum,2,sS observes this creates black colored plugs on the lipline that don't seem to get inflamed – most apparent in lipbalms,
Petroleum,2,sS observes this creates black colored plugs on the lipline that don't seem to get inflamed – most apparent in lipbalms,
PG caprylate/caprate,2,,
PG dipelargonate,2,,
